Text name: ddpg_ant_seed3.txt
[0/2000] rSumAvg:[99.010]
[1/2000] rSumAvg:[94.755]
[2/2000] rSumAvg:[88.129]
[3/2000] rSumAvg:[80.840]
[4/2000] rSumAvg:[70.867]
[5/2000] rSumAvg:[57.519]
[6/2000] rSumAvg:[50.699]
[7/2000] rSumAvg:[46.758]
[8/2000] rSumAvg:[45.077]
[9/2000] rSumAvg:[43.635]
[10/2000] rSumAvg:[49.757]
[11/2000] rSumAvg:[53.813]
[12/2000] rSumAvg:[55.738]
[13/2000] rSumAvg:[60.409]
[14/2000] rSumAvg:[61.844]
[15/2000] rSumAvg:[31.631]
[16/2000] rSumAvg:[65.771]
[17/2000] rSumAvg:[52.585]
[18/2000] rSumAvg:[65.559]
[19/2000] rSumAvg:[61.738]
[20/2000] rSumAvg:[60.509]
[21/2000] rSumAvg:[56.203]
[22/2000] rSumAvg:[58.015]
[23/2000] rSumAvg:[53.959]
[24/2000] rSumAvg:[84.145]
[25/2000] rSumAvg:[68.380]
[26/2000] rSumAvg:[62.717]
[27/2000] rSumAvg:[54.616]
[28/2000] rSumAvg:[43.874]
[29/2000] rSumAvg:[51.978]
[30/2000] rSumAvg:[-15.846]
[31/2000] rSumAvg:[72.961]
[32/2000] rSumAvg:[62.918]
[33/2000] rSumAvg:[10.362]
[34/2000] rSumAvg:[23.818]
[35/2000] rSumAvg:[47.422]
[36/2000] rSumAvg:[36.176]
[37/2000] rSumAvg:[34.484]
[38/2000] rSumAvg:[45.046]
[39/2000] rSumAvg:[32.867]
[40/2000] rSumAvg:[34.705]
[41/2000] rSumAvg:[41.017]
[42/2000] rSumAvg:[39.838]
[43/2000] rSumAvg:[37.088]
[44/2000] rSumAvg:[68.833]
[45/2000] rSumAvg:[25.852]
[46/2000] rSumAvg:[75.943]
[47/2000] rSumAvg:[51.426]
[48/2000] rSumAvg:[-48.891]
[49/2000] rSumAvg:[33.040]
[50/2000] rSumAvg:[80.317]
[51/2000] rSumAvg:[23.446]
[52/2000] rSumAvg:[47.478]
[53/2000] rSumAvg:[88.395]
[54/2000] rSumAvg:[71.448]
[55/2000] rSumAvg:[59.059]
[56/2000] rSumAvg:[-53.471]
[57/2000] rSumAvg:[50.746]
[58/2000] rSumAvg:[32.849]
[59/2000] rSumAvg:[58.355]
[60/2000] rSumAvg:[49.255]
[61/2000] rSumAvg:[15.473]
[62/2000] rSumAvg:[42.425]
[63/2000] rSumAvg:[33.959]
[64/2000] rSumAvg:[-78.745]
[65/2000] rSumAvg:[34.806]
[66/2000] rSumAvg:[32.220]
[67/2000] rSumAvg:[77.134]
[68/2000] rSumAvg:[61.774]
[69/2000] rSumAvg:[18.026]
[70/2000] rSumAvg:[41.185]
[71/2000] rSumAvg:[-10.014]
[72/2000] rSumAvg:[-23.802]
[73/2000] rSumAvg:[47.540]
[74/2000] rSumAvg:[-4.910]
[75/2000] rSumAvg:[11.734]
[76/2000] rSumAvg:[14.767]
[77/2000] rSumAvg:[21.154]
[78/2000] rSumAvg:[31.295]
[79/2000] rSumAvg:[18.794]
[80/2000] rSumAvg:[33.755]
[81/2000] rSumAvg:[-22.569]
[82/2000] rSumAvg:[-31.659]
[83/2000] rSumAvg:[-69.802]
[84/2000] rSumAvg:[25.017]
[85/2000] rSumAvg:[36.652]
[86/2000] rSumAvg:[-66.459]
[87/2000] rSumAvg:[-42.892]
[88/2000] rSumAvg:[55.202]
[89/2000] rSumAvg:[63.470]
[90/2000] rSumAvg:[-72.740]
[91/2000] rSumAvg:[64.579]
[92/2000] rSumAvg:[54.412]
[93/2000] rSumAvg:[48.713]
[94/2000] rSumAvg:[66.228]
[95/2000] rSumAvg:[51.213]
[96/2000] rSumAvg:[68.301]
[97/2000] rSumAvg:[64.911]
[98/2000] rSumAvg:[57.401]
[99/2000] rSumAvg:[59.845]
[100/2000] rSumAvg:[59.896]
[101/2000] rSumAvg:[40.495]
[102/2000] rSumAvg:[32.498]
[103/2000] rSumAvg:[40.433]
[104/2000] rSumAvg:[47.270]
[105/2000] rSumAvg:[42.906]
[106/2000] rSumAvg:[-138.794]
[107/2000] rSumAvg:[44.087]
[108/2000] rSumAvg:[53.419]
[109/2000] rSumAvg:[43.491]
[110/2000] rSumAvg:[56.259]
[111/2000] rSumAvg:[49.756]
[112/2000] rSumAvg:[55.901]
[113/2000] rSumAvg:[56.946]
