Text name: ddpg_halfcheetah_seed1.txt
[0/1000] rSumAvg:[-1.047]
[1/1000] rSumAvg:[-5.074]
[2/1000] rSumAvg:[-14.031]
[3/1000] rSumAvg:[-23.498]
[4/1000] rSumAvg:[-27.770]
[5/1000] rSumAvg:[-30.504]
[6/1000] rSumAvg:[-32.771]
[7/1000] rSumAvg:[-33.107]
[8/1000] rSumAvg:[-31.912]
[9/1000] rSumAvg:[-31.557]
[10/1000] rSumAvg:[-28.236]
[11/1000] rSumAvg:[-30.277]
[12/1000] rSumAvg:[-30.787]
[13/1000] rSumAvg:[-32.829]
[14/1000] rSumAvg:[-34.958]
[15/1000] rSumAvg:[-35.054]
[16/1000] rSumAvg:[-34.519]
[17/1000] rSumAvg:[-35.864]
[18/1000] rSumAvg:[-36.366]
[19/1000] rSumAvg:[-37.369]
[20/1000] rSumAvg:[-39.482]
[21/1000] rSumAvg:[-40.510]
[22/1000] rSumAvg:[-38.689]
[23/1000] rSumAvg:[-36.154]
[24/1000] rSumAvg:[-33.449]
[25/1000] rSumAvg:[-36.990]
[26/1000] rSumAvg:[-36.932]
[27/1000] rSumAvg:[-35.578]
[28/1000] rSumAvg:[-34.795]
[29/1000] rSumAvg:[-35.931]
[30/1000] rSumAvg:[-37.299]
[31/1000] rSumAvg:[-37.669]
[32/1000] rSumAvg:[-38.256]
[33/1000] rSumAvg:[-39.640]
[34/1000] rSumAvg:[-39.450]
[35/1000] rSumAvg:[-38.285]
[36/1000] rSumAvg:[-36.387]
[37/1000] rSumAvg:[-34.213]
[38/1000] rSumAvg:[-23.749]
[39/1000] rSumAvg:[-17.594]
[40/1000] rSumAvg:[3.213]
[41/1000] rSumAvg:[-0.670]
[42/1000] rSumAvg:[-3.920]
[43/1000] rSumAvg:[0.727]
[44/1000] rSumAvg:[-2.832]
[45/1000] rSumAvg:[-7.231]
[46/1000] rSumAvg:[-6.527]
[47/1000] rSumAvg:[-5.588]
[48/1000] rSumAvg:[-4.387]
[49/1000] rSumAvg:[-0.659]
[50/1000] rSumAvg:[1.020]
[51/1000] rSumAvg:[4.482]
[52/1000] rSumAvg:[13.856]
[53/1000] rSumAvg:[17.329]
[54/1000] rSumAvg:[7.739]
[55/1000] rSumAvg:[12.329]
[56/1000] rSumAvg:[9.493]
[57/1000] rSumAvg:[10.646]
[58/1000] rSumAvg:[8.908]
[59/1000] rSumAvg:[6.136]
[60/1000] rSumAvg:[6.095]
[61/1000] rSumAvg:[10.319]
[62/1000] rSumAvg:[12.433]
[63/1000] rSumAvg:[9.005]
[64/1000] rSumAvg:[7.570]
[65/1000] rSumAvg:[6.522]
[66/1000] rSumAvg:[7.040]
[67/1000] rSumAvg:[2.747]
[68/1000] rSumAvg:[3.656]
[69/1000] rSumAvg:[2.451]
[70/1000] rSumAvg:[1.858]
[71/1000] rSumAvg:[0.859]
[72/1000] rSumAvg:[-0.747]
[73/1000] rSumAvg:[0.262]
[74/1000] rSumAvg:[-3.340]
[75/1000] rSumAvg:[-0.382]
[76/1000] rSumAvg:[-7.934]
[77/1000] rSumAvg:[-7.166]
[78/1000] rSumAvg:[-5.010]
[79/1000] rSumAvg:[-0.826]
[80/1000] rSumAvg:[-4.960]
[81/1000] rSumAvg:[-7.623]
[82/1000] rSumAvg:[-5.383]
[83/1000] rSumAvg:[-2.299]
[84/1000] rSumAvg:[-6.459]
[85/1000] rSumAvg:[-8.566]
[86/1000] rSumAvg:[-7.676]
[87/1000] rSumAvg:[-2.916]
[88/1000] rSumAvg:[-4.983]
[89/1000] rSumAvg:[-7.058]
[90/1000] rSumAvg:[-8.828]
[91/1000] rSumAvg:[-9.466]
[92/1000] rSumAvg:[-11.680]
[93/1000] rSumAvg:[-11.526]
[94/1000] rSumAvg:[-10.254]
[95/1000] rSumAvg:[-5.526]
[96/1000] rSumAvg:[-6.375]
[97/1000] rSumAvg:[-5.552]
[98/1000] rSumAvg:[-8.981]
[99/1000] rSumAvg:[-9.980]
[100/1000] rSumAvg:[-7.590]
[101/1000] rSumAvg:[-7.996]
[102/1000] rSumAvg:[-5.088]
[103/1000] rSumAvg:[-6.262]
[104/1000] rSumAvg:[-7.119]
[105/1000] rSumAvg:[-7.967]
[106/1000] rSumAvg:[-9.056]
[107/1000] rSumAvg:[-7.397]
[108/1000] rSumAvg:[-6.650]
[109/1000] rSumAvg:[-7.933]
[110/1000] rSumAvg:[-4.566]
[111/1000] rSumAvg:[-6.280]
[112/1000] rSumAvg:[-4.731]
[113/1000] rSumAvg:[0.270]
[114/1000] rSumAvg:[-6.355]
[115/1000] rSumAvg:[-3.287]
[116/1000] rSumAvg:[-6.585]
[117/1000] rSumAvg:[-6.436]
[118/1000] rSumAvg:[-4.797]
[119/1000] rSumAvg:[-2.660]
[120/1000] rSumAvg:[-3.592]
[121/1000] rSumAvg:[-5.167]
[122/1000] rSumAvg:[-6.768]
[123/1000] rSumAvg:[-7.523]
[124/1000] rSumAvg:[-5.374]
[125/1000] rSumAvg:[-14.980]
[126/1000] rSumAvg:[-12.256]
[127/1000] rSumAvg:[-11.469]
[128/1000] rSumAvg:[-9.455]
[129/1000] rSumAvg:[-7.957]
[130/1000] rSumAvg:[-8.535]
[131/1000] rSumAvg:[-9.019]
[132/1000] rSumAvg:[-8.490]
[133/1000] rSumAvg:[-7.408]
[134/1000] rSumAvg:[-11.037]
[135/1000] rSumAvg:[-8.743]
[136/1000] rSumAvg:[-7.193]
[137/1000] rSumAvg:[-10.174]
[138/1000] rSumAvg:[-6.431]
[139/1000] rSumAvg:[-8.120]
[140/1000] rSumAvg:[-7.738]
[141/1000] rSumAvg:[-7.950]
[142/1000] rSumAvg:[-7.734]
[143/1000] rSumAvg:[-7.707]
[144/1000] rSumAvg:[-8.700]
[145/1000] rSumAvg:[-8.997]
[146/1000] rSumAvg:[-5.432]
[147/1000] rSumAvg:[-5.313]
[148/1000] rSumAvg:[-10.378]
[149/1000] rSumAvg:[-8.815]
[150/1000] rSumAvg:[-8.789]
[151/1000] rSumAvg:[-9.102]
[152/1000] rSumAvg:[-6.616]
[153/1000] rSumAvg:[-8.896]
[154/1000] rSumAvg:[-10.884]
[155/1000] rSumAvg:[-9.169]
[156/1000] rSumAvg:[-9.690]
[157/1000] rSumAvg:[-13.163]
[158/1000] rSumAvg:[-12.922]
[159/1000] rSumAvg:[-15.944]
[160/1000] rSumAvg:[-16.110]
[161/1000] rSumAvg:[-16.137]
[162/1000] rSumAvg:[-13.045]
[163/1000] rSumAvg:[-13.930]
[164/1000] rSumAvg:[-13.444]
[165/1000] rSumAvg:[-14.307]
[166/1000] rSumAvg:[-17.207]
[167/1000] rSumAvg:[-16.152]
[168/1000] rSumAvg:[-14.799]
[169/1000] rSumAvg:[-15.036]
[170/1000] rSumAvg:[-15.445]
[171/1000] rSumAvg:[-13.644]
[172/1000] rSumAvg:[-15.655]
[173/1000] rSumAvg:[-15.360]
[174/1000] rSumAvg:[-14.591]
[175/1000] rSumAvg:[-17.034]
[176/1000] rSumAvg:[-14.728]
[177/1000] rSumAvg:[-17.910]
[178/1000] rSumAvg:[-18.890]
[179/1000] rSumAvg:[-17.952]
[180/1000] rSumAvg:[-17.444]
[181/1000] rSumAvg:[-16.256]
[182/1000] rSumAvg:[-17.389]
[183/1000] rSumAvg:[-19.368]
[184/1000] rSumAvg:[-20.760]
[185/1000] rSumAvg:[-20.346]
[186/1000] rSumAvg:[-19.916]
[187/1000] rSumAvg:[-19.789]
[188/1000] rSumAvg:[-19.015]
[189/1000] rSumAvg:[-18.142]
[190/1000] rSumAvg:[-15.394]
[191/1000] rSumAvg:[-14.498]
[192/1000] rSumAvg:[-16.759]
[193/1000] rSumAvg:[-16.516]
[194/1000] rSumAvg:[-19.801]
[195/1000] rSumAvg:[-18.448]
[196/1000] rSumAvg:[-19.824]
[197/1000] rSumAvg:[-20.132]
[198/1000] rSumAvg:[-20.421]
[199/1000] rSumAvg:[-22.285]
[200/1000] rSumAvg:[-22.748]
[201/1000] rSumAvg:[-22.083]
[202/1000] rSumAvg:[-21.157]
[203/1000] rSumAvg:[-22.241]
[204/1000] rSumAvg:[-20.724]
[205/1000] rSumAvg:[-20.976]
[206/1000] rSumAvg:[-22.691]
[207/1000] rSumAvg:[-23.210]
[208/1000] rSumAvg:[-23.313]
[209/1000] rSumAvg:[-23.694]
[210/1000] rSumAvg:[-23.451]
[211/1000] rSumAvg:[-25.229]
[212/1000] rSumAvg:[-25.034]
[213/1000] rSumAvg:[-25.479]
[214/1000] rSumAvg:[-25.575]
[215/1000] rSumAvg:[-25.729]
[216/1000] rSumAvg:[-24.376]
[217/1000] rSumAvg:[-23.183]
[218/1000] rSumAvg:[-22.729]
[219/1000] rSumAvg:[-22.436]
[220/1000] rSumAvg:[-19.071]
[221/1000] rSumAvg:[-18.728]
[222/1000] rSumAvg:[-17.686]
[223/1000] rSumAvg:[-18.444]
[224/1000] rSumAvg:[-19.932]
[225/1000] rSumAvg:[-20.979]
[226/1000] rSumAvg:[-19.875]
[227/1000] rSumAvg:[-22.120]
[228/1000] rSumAvg:[-22.830]
[229/1000] rSumAvg:[-24.466]
[230/1000] rSumAvg:[-27.571]
[231/1000] rSumAvg:[-27.882]
[232/1000] rSumAvg:[-29.662]
[233/1000] rSumAvg:[-29.588]
[234/1000] rSumAvg:[-30.925]
[235/1000] rSumAvg:[-31.522]
[236/1000] rSumAvg:[-29.196]
